BJD,mag,mag_err,filter,instrument
2455227.3540433245,10.248,0.022,W1,WISE
2455227.486354706,10.244,0.024,W1,WISE
2455227.684885483,10.341,0.027,W1,WISE
2455227.7509773844,10.404,0.028,W1,WISE
2455227.751104691,10.433,0.033,W1,WISE
2455227.817196685,10.306,0.024,W1,WISE
2455227.883415982,10.236,0.023,W1,WISE
2455228.015727273,10.24,0.021,W1,WISE
2455228.0819465825,10.234,0.029,W1,WISE
2455228.148038594,10.225,0.021,W1,WISE
2455228.214257923,10.206,0.023,W1,WISE
2455228.2803499545,10.221,0.027,W1,WISE
2455228.2804772607,10.201,0.026,W1,WISE
2455228.346569298,10.218,0.022,W1,WISE
2455228.4127886444,10.253,0.024,W1,WISE
2455228.478880682,10.228,0.026,W1,WISE
2455228.545100021,10.269,0.029,W1,WISE
2455228.611192044,10.27,0.028,W1,WISE
2455228.7436306733,10.379,0.028,W1,WISE
2455228.8759419667,10.287,0.024,W1,WISE
2455233.507846319,10.229,0.024,W1,WISE
2455233.507973626,10.273,0.029,W1,WISE
2455233.574065642,10.281,0.021,W1,WISE
2455407.441009639,10.258,0.024,W1,WISE
2455407.837900537,10.343,0.034,W1,WISE
2455407.9701974825,10.257,0.023,W1,WISE
2455408.036282303,10.238,0.023,W1,WISE
2455408.1023672144,10.17,0.025,W1,WISE
2455408.102494508,10.267,0.027,W1,WISE
2455408.1685794094,10.217,0.021,W1,WISE
2455408.2346641,10.236,0.026,W1,WISE
2455408.300876275,10.239,0.023,W1,WISE
2455408.366961152,10.219,0.024,W1,WISE
2455408.433173219,10.26,0.024,W1,WISE
2455408.4992580963,10.201,0.022,W1,WISE
2455408.631555065,10.239,0.022,W1,WISE
2455408.7638519714,10.32,0.025,W1,WISE
2455408.8300640834,10.349,0.033,W1,WISE
2455408.962233825,10.241,0.028,W1,WISE
2455408.9623611188,10.213,0.029,W1,WISE
2455409.094530742,10.235,0.028,W1,WISE
2455409.0946581354,10.292,0.03,W1,WISE
2455409.2268278194,10.232,0.03,W1,WISE
2456691.89180656,10.243,0.015,W1,WISE
2456692.155410166,10.268,0.017,W1,WISE
2456692.2212474337,10.224,0.015,W1,WISE
2456692.28708471,10.247,0.015,W1,WISE
2456692.353049348,10.252,0.015,W1,WISE
2456692.4188866406,10.227,0.015,W1,WISE
2456692.5506885494,10.232,0.016,W1,WISE
2456692.6165258125,10.258,0.015,W1,WISE
2456692.6823631157,10.271,0.017,W1,WISE
2456692.7482003476,10.373,0.019,W1,WISE
2456692.8141649505,10.321,0.018,W1,WISE
2456692.8800021424,10.236,0.015,W1,WISE
2456692.9459667415,10.251,0.02,W1,WISE
2456693.011803967,10.246,0.016,W1,WISE
2456693.143478455,10.221,0.018,W1,WISE
2456693.4070822783,10.243,0.021,W1,WISE
2456869.4850294893,10.248,0.021,W1,WISE
2456869.616562475,10.263,0.017,W1,WISE
2456869.7480954984,10.376,0.016,W1,WISE
2456869.8796285917,10.237,0.019,W1,WISE
2456870.011166275,10.258,0.017,W1,WISE
2456870.076996475,10.235,0.016,W1,WISE
2456870.142826704,10.233,0.018,W1,WISE
2456870.2085295697,10.207,0.018,W1,WISE
2456870.274360311,10.264,0.015,W1,WISE
2456870.340063111,10.224,0.02,W1,WISE
2456870.340190514,10.225,0.022,W1,WISE
2456870.4058933104,10.248,0.015,W1,WISE
2456870.4717235216,10.248,0.016,W1,WISE
2456870.5374263623,10.272,0.015,W1,WISE
2456870.7347894995,10.334,0.015,W1,WISE
2456870.8006196925,10.386,0.017,W1,WISE
2456870.8663225737,10.284,0.015,W1,WISE
2456871.1295159585,10.244,0.015,W1,WISE
2456874.023879567,10.26,0.016,W1,WISE
2456874.1554126125,10.246,0.015,W1,WISE
2457054.087146844,10.248,0.015,W1,WISE
2457054.218566785,10.211,0.015,W1,WISE
2457054.3498594826,10.243,0.017,W1,WISE
2457054.3499868494,10.254,0.019,W1,WISE
2457054.4155695196,10.266,0.016,W1,WISE
2457054.5469895843,10.23,0.015,W1,WISE
2457054.612699615,10.234,0.015,W1,WISE
2457054.678409624,10.24,0.015,W1,WISE
2457054.744119584,10.229,0.016,W1,WISE
2457054.809829528,10.253,0.015,W1,WISE
2457054.8755395254,10.329,0.018,W1,WISE
2457054.9412495056,10.393,0.016,W1,WISE
2457055.0069595054,10.293,0.027,W1,WISE
2457055.07254214,10.243,0.018,W1,WISE
2457055.0726694567,10.252,0.02,W1,WISE
2457055.138252099,10.251,0.019,W1,WISE
2457055.2039621174,10.209,0.019,W1,WISE
2457055.335382188,10.215,0.015,W1,WISE
2457055.46680221,10.251,0.017,W1,WISE
2457055.598094896,10.238,0.015,W1,WISE
2457231.3282854785,10.22,0.018,W1,WISE
2457231.459436608,10.23,0.015,W1,WISE
2457231.7218661285,10.231,0.016,W1,WISE
2457231.9185928325,10.376,0.02,W1,WISE
2457231.9842957705,10.334,0.017,W1,WISE
2457232.115446865,10.247,0.015,W1,WISE
2457232.1810224755,10.246,0.017,W1,WISE
2457232.312301474,10.252,0.016,W1,WISE
2457232.3778770203,10.234,0.015,W1,WISE
2457232.443452541,10.218,0.016,W1,WISE
2457232.5090281274,10.243,0.014,W1,WISE
2457232.837033274,10.245,0.015,W1,WISE
2457417.8336613625,10.263,0.015,W1,WISE
2457417.9648268344,10.265,0.017,W1,WISE
2457418.030409587,10.272,0.021,W1,WISE
2457418.095864916,10.405,0.016,W1,WISE
2457418.161447679,10.351,0.015,W1,WISE
2457418.227030441,10.258,0.016,W1,WISE
2457418.358196062,10.211,0.018,W1,WISE
2457418.4236514717,10.226,0.017,W1,WISE
2457418.5548170414,10.24,0.016,W1,WISE
2457418.7514379146,10.246,0.019,W1,WISE
2457418.751565282,10.231,0.02,W1,WISE
2457418.817020652,10.225,0.018,W1,WISE
2457418.9481861265,10.249,0.017,W1,WISE
2457420.718283948,10.233,0.015,W1,WISE
2457420.914904871,10.236,0.019,W1,WISE
2457421.1116530686,10.283,0.017,W1,WISE
2457421.242691198,10.294,0.019,W1,WISE
2457421.308273977,10.253,0.015,W1,WISE
2457421.373856817,10.245,0.017,W1,WISE
2457421.505022388,10.232,0.016,W1,WISE
2457421.5706051774,10.229,0.018,W1,WISE
2457421.70164337,10.246,0.016,W1,WISE
2457421.767226073,10.214,0.016,W1,WISE
2457421.9638469284,10.225,0.017,W1,WISE
2457422.095012434,10.24,0.017,W1,WISE
2457590.1893546437,10.276,0.017,W1,WISE
2457590.320378633,10.239,0.019,W1,WISE
2457590.7134505264,10.241,0.016,W1,WISE
2457590.9100502282,10.242,0.021,W1,WISE
2457591.303122163,10.256,0.018,W1,WISE
2457591.368570434,10.24,0.016,W1,WISE
2457591.4341460513,10.258,0.019,W1,WISE
2457591.565169988,10.259,0.018,W1,WISE
2457591.8270906173,10.262,0.016,W1,WISE
2457785.1195297902,10.25,0.017,W1,WISE
2457785.2504408797,10.234,0.015,W1,WISE
2457785.446934908,10.352,0.015,W1,WISE
2457785.5123904804,10.245,0.018,W1,WISE
2457785.7744672643,10.224,0.016,W1,WISE
2457786.0364166377,10.243,0.017,W1,WISE
2457786.101872138,10.259,0.018,W1,WISE
2457786.2329105395,10.245,0.019,W1,WISE
2457786.363949031,10.319,0.018,W1,WISE
2457786.4948601415,10.317,0.018,W1,WISE
2457786.6258986113,10.249,0.016,W1,WISE
2457951.9046616936,10.246,0.018,W1,WISE
2458149.8545435476,10.251,0.018,W1,WISE
2458149.919998961,10.251,0.018,W1,WISE
2458149.9201263287,10.231,0.019,W1,WISE
2458150.0509098,10.223,0.019,W1,WISE
2458150.0510371206,10.243,0.021,W1,WISE
2458150.116492553,10.244,0.018,W1,WISE
2458150.2474034834,10.239,0.017,W1,WISE
2458150.312858956,10.256,0.02,W1,WISE
2458150.443770486,10.307,0.021,W1,WISE
2458150.509225944,10.194,0.023,W1,WISE
2458150.640136839,10.379,0.017,W1,WISE
2458157.120873262,10.279,0.017,W1,WISE
2458312.1657354496,10.249,0.018,W1,WISE
2458312.296505069,10.379,0.015,W1,WISE
2458516.3769343034,10.233,0.015,W1,WISE
2458516.7695385064,10.254,0.016,W1,WISE
2458516.834993768,10.311,0.015,W1,WISE
2458517.358381612,10.242,0.02,W1,WISE
2458517.4238368957,10.236,0.015,W1,WISE
2458517.750985921,10.244,0.018,W1,WISE
2458679.4774244484,10.274,0.015,W1,WISE
2458881.069670083,10.34,0.016,W1,WISE
2458881.266417949,10.267,0.017,W1,WISE
2458881.789677863,10.234,0.016,W1,WISE
2458881.855133105,10.25,0.016,W1,WISE
2459245.245404208,10.286,0.016,W1,WISE
2459245.76853688,10.216,0.017,W1,WISE
2459246.2262139637,10.234,0.019,W1,WISE
2459414.5537576065,10.261,0.015,W1,WISE
2459612.2764651203,10.213,0.017,W1,WISE
2459612.4725762503,10.26,0.021,W1,WISE
2459612.5377768483,10.301,0.019,W1,WISE
2459613.1257278714,10.223,0.019,W1,WISE
2459977.3185990863,10.237,0.019,W1,WISE
2459977.318726453,10.255,0.019,W1,WISE
2459977.448872973,10.235,0.017,W1,WISE
2460138.121105466,10.278,0.018,W1,WISE
2460138.7047945107,10.25,0.017,W1,WISE
2460139.2235382404,10.22,0.015,W1,WISE
2460340.62409012,10.234,0.017,W1,WISE
2460341.2042730763,10.255,0.017,W1,WISE
2460341.784456395,10.26,0.016,W1,WISE
2460343.847825682,10.272,0.015,W1,WISE
2460344.170136021,10.32,0.017,W1,WISE
2460344.2345724655,10.239,0.016,W1,WISE
2460344.621318996,10.209,0.018,W1,WISE
